caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20070203,76.01281968392396,-2.1289656,-4.9665027,5.403577,23.203102111816406,19.57499999999999
ish_20070204,36.10108136157977,-3.1551826,-0.9226978,3.2873313,73.69902038574219,18.848000000000013
ish_20070205,101.12937370393996,-3.5639,2.0576,4.1152277,119.99977111816406,11.771999999999991
ish_20070206,99.63062734588694,-4.358439,2.2526863,4.9061785,117.33247375488281,12.966000000000008
ish_20070207,110.05667525791766,-5.7519555,3.0873325,6.52814,118.22445678710938,15.871999999999957
ish_20070208,129.86498780824525,-2.9022644,4.6736703,5.5014844,148.16046905517578,13.079000000000008
ish_20070212,79.54292536372559,-4.2005816,-1.8692951,4.597733,66.01051330566406,18.46700000000004
ish_20070213,256.6226653295208,-4.740994,7.916944,9.227948,149.0850830078125,8.642000000000053
ish_20070215,173.3826751201738,-4.9851193,-5.2600594,7.2470436,43.4627685546875,14.492999999999995
ish_20070216,264.3625919491781,-5.329372,7.2584267,9.004829,143.71267700195312,15.238
ish_20070217,275.0499959261093,0.7583259,9.105292,9.136816,184.7608413696289,13.283999999999992
ish_20070224,125.33412592115666,-6.352574,-3.9699433,7.4910374,57.997314453125,8.639999999999986
ish_20070228,203.99758071088823,-4.6999187,-5.6217594,7.327579,39.89637756347656,15.297000000000025
ish_20070301,178.8022468452668,-7.9973397,3.5465662,8.748462,113.915771484375,14.507000000000005
ish_20070302,328.4424166874534,-8.236977,5.0148954,9.643494,121.33419799804688,14.606999999999971
ish_20070303,301.013451504804,-6.765571,2.215031,7.1189404,108.12832641601562,14.704999999999984
ish_20070304,325.007230373451,-2.4436383,10.660337,10.936826,167.0893096923828,14.302999999999997
ish_20070314,196.2366904716296,-5.5401597,1.5322555,5.7481456,105.45999145507812,14.225999999999999
ish_20070315,511.2872812536359,6.5050597,9.509125,11.521253,214.37548828125,13.319999999999993
ish_20070322,120.52840563269797,-4.149608,1.4992007,4.4121256,109.86415100097656,15.757000000000005
ish_20070323,113.40130123205518,-4.814078,1.0945711,4.9369454,102.80950927734375,16.033000000000015
ish_20070324,293.9562641543173,0.9940241,6.408399,6.4850335,188.81704711914062,15.242000000000019
ish_20070328,263.7476343982046,-7.181204,-2.2756653,7.5331492,72.4169921875,17.555999999999983
